Date,Time ,Level_cm,Cal_point_cm,Corrected_level_cm,
11/23/2010,10:17,-27.3,31.2,3.9,
11/24/2010,10:17,-31.7,31.2,-0.5,
11/25/2010,10:17,-28.4,31.2,2.8,
11/26/2010,10:17,-27.5,31.2,3.7,
11/27/2010,10:17,-27.5,31.2,3.7,
11/28/2010,10:17,-27.4,31.2,3.8,
11/29/2010,10:17,-27.8,31.2,3.4,
11/30/2010,10:17,-25.5,31.2,5.7,
12/1/2010,10:17,-22.9,31.2,8.3,
12/2/2010,10:17,-25.8,31.2,5.4,
12/3/2010,10:17,-26.7,31.2,4.5,
12/4/2010,10:17,-27.1,31.2,4.1,
12/5/2010,10:17,-27,31.2,4.2,
12/6/2010,10:17,-26.8,31.2,4.4,
12/7/2010,10:17,-26.7,31.2,4.5,
12/8/2010,10:17,-26.7,31.2,4.5,
12/9/2010,10:17,-27,31.2,4.2,
12/10/2010,10:17,-26.8,31.2,4.4,
12/11/2010,10:17,-26.9,31.2,4.3,
12/12/2010,10:17,-24.9,31.2,6.3,
12/13/2010,10:17,-24.3,31.2,6.9,
12/14/2010,10:17,-24.5,31.2,6.7,
12/15/2010,10:17,-24.6,31.2,6.6,
12/16/2010,10:17,-24.9,31.2,6.3,
12/17/2010,10:17,-24.9,31.2,6.3,
12/18/2010,10:17,-25,31.2,6.2,
12/19/2010,10:17,-25.3,31.2,5.9,
12/20/2010,10:17,-25.4,31.2,5.8,
12/21/2010,10:17,-25.3,31.2,5.9,
12/22/2010,10:17,-25.3,31.2,5.9,
12/23/2010,10:17,-25.1,31.2,6.1,
12/24/2010,10:17,-25.2,31.2,6,
12/25/2010,10:17,-25,31.2,6.2,
12/26/2010,10:17,-25,31.2,6.2,
12/27/2010,10:17,-25.3,31.2,5.9,
12/28/2010,10:17,-25.6,31.2,5.6,
12/29/2010,10:17,-25.6,31.2,5.6,
12/30/2010,10:17,-24.7,31.2,6.5,
12/31/2010,10:17,-26.4,31.2,4.8,
1/1/2011,10:17,-22.3,31.2,8.9,
1/2/2011,10:17,-23.7,31.2,7.5,
1/3/2011,10:17,-25,31.2,6.2,
1/4/2011,10:17,-6,31.2,25.2,
1/5/2011,10:17,0.8,31.2,0.8,
1/6/2011,10:17,-23.3,31.2,7.9,
1/7/2011,10:17,-23.7,31.2,7.5,
1/8/2011,10:17,-24.1,31.2,7.1,
1/9/2011,10:17,-25,31.2,6.2,
1/10/2011,10:17,-25,31.2,6.2,
1/11/2011,10:17,-21.7,31.2,9.5,
1/12/2011,10:17,-19.3,31.2,11.9,
1/13/2011,10:17,-19.7,31.2,11.5,
1/14/2011,10:17,-22.3,31.2,8.9,
1/15/2011,10:17,27.5,31.2,27.5,
1/16/2011,10:17,-21.9,31.2,9.3,
1/17/2011,10:17,-22.6,31.2,8.6,
1/18/2011,10:17,56.3,31.2,56.3,
1/19/2011,10:17,-20.4,31.2,10.8,
1/20/2011,10:17,-22.9,31.2,8.3,
1/21/2011,10:17,-23.2,31.2,8,
1/22/2011,10:17,-24.2,31.2,7,
1/23/2011,10:17,-23.9,31.2,7.3,
1/24/2011,10:17,-24.5,31.2,6.7,
1/25/2011,10:17,-12.7,31.2,18.5,
1/26/2011,10:17,-23.6,31.2,7.6,
1/27/2011,10:17,-24.1,31.2,7.1,
1/28/2011,10:17,-22.6,31.2,8.6,
1/29/2011,10:17,-21,31.2,10.2,
1/30/2011,10:17,-22.6,31.2,8.6,
1/31/2011,10:17,-23.3,31.2,7.9,
2/1/2011,10:17,-22.7,31.2,8.5,
2/2/2011,10:17,-63.1,31.2,-31.9,
2/3/2011,10:17,-21.1,31.2,10.1,
2/4/2011,10:17,-21.3,31.2,9.9,
2/5/2011,10:17,-21.7,31.2,9.5,
2/6/2011,10:17,-21.9,31.2,9.3,
2/7/2011,10:17,685.4,31.2,685.4,
2/8/2011,10:17,-22,31.2,9.2,
2/9/2011,10:17,-22.4,31.2,8.8,
2/10/2011,10:17,-22.6,31.2,8.6,
2/11/2011,10:17,-23.1,31.2,8.1,
2/12/2011,10:17,777.2,31.2,777.2,
2/13/2011,10:17,308.2,31.2,308.2,
2/14/2011,10:17,283.6,31.2,283.6,
2/15/2011,10:17,-23.7,31.2,7.5,
2/16/2011,10:17,157.9,31.2,157.9,
2/17/2011,10:17,-8.3,31.2,22.9,
2/18/2011,10:17,-113.2,31.2,-82,
2/19/2011,10:17,-92.5,31.2,-61.3,
2/20/2011,10:17,-25,31.2,6.2,
2/21/2011,10:17,-22.6,31.2,8.6,
2/22/2011,10:17,-22.7,31.2,8.5,
2/23/2011,10:17,-22.7,31.2,8.5,
2/24/2011,10:17,-106.2,31.2,-75,
2/25/2011,10:17,3.2,31.2,3.2,
2/26/2011,10:17,285,31.2,285,
2/27/2011,10:17,374.1,31.2,374.1,
2/28/2011,10:17,374.4,31.2,374.4,
3/1/2011,10:17,83.6,31.2,83.6,
3/2/2011,10:17,67.4,31.2,67.4,
3/3/2011,10:17,-24.5,31.2,6.7,
3/4/2011,10:17,-106.4,31.2,-75.2,
3/5/2011,10:17,-95.6,31.2,-64.4,
3/6/2011,10:17,108,31.2,108,
3/7/2011,10:17,816.2,31.2,816.2,
3/8/2011,10:17,363.1,31.2,363.1,
3/9/2011,10:17,-78.7,31.2,-47.5,
3/10/2011,10:17,770.2,31.2,770.2,
3/11/2011,10:17,823.5,31.2,823.5,
3/12/2011,10:17,547.6,31.2,547.6,
3/13/2011,10:17,0.2,31.2,0.2,
3/14/2011,10:17,-15.9,31.2,15.3,
3/15/2011,10:17,-19.4,31.2,11.8,
3/16/2011,10:17,-18.1,31.2,13.1,
3/17/2011,10:17,-18.7,31.2,12.5,
3/18/2011,10:17,-20.5,31.2,10.7,
3/19/2011,10:17,-20,31.2,11.2,
3/20/2011,10:17,-18.3,31.2,12.9,
3/21/2011,10:17,-16.6,31.2,14.6,
3/22/2011,10:17,-18.4,31.2,12.8,
3/23/2011,10:17,-18.9,31.2,12.3,
3/24/2011,10:17,-20.3,31.2,10.9,
3/25/2011,10:17,-21.8,31.2,9.4,
3/26/2011,10:17,-21.8,31.2,9.4,
3/27/2011,10:17,-21.8,31.2,9.4,
3/28/2011,10:17,-22.2,31.2,9,
3/29/2011,10:17,-22.2,31.2,9,
3/30/2011,10:17,-21.7,31.2,9.5,
3/31/2011,10:17,-20.9,31.2,10.3,
4/1/2011,10:17,-20.2,31.2,11,
4/2/2011,10:17,-20.5,31.2,10.7,
4/3/2011,10:17,-19.4,31.2,11.8,
4/4/2011,10:17,-17.5,31.2,13.7,
4/5/2011,10:17,-15.5,31.2,15.7,
4/6/2011,10:17,-17.2,31.2,14,
4/7/2011,10:17,-18.9,31.2,12.3,
4/8/2011,10:17,-18.3,31.2,12.9,
4/9/2011,10:17,-18.5,31.2,12.7,
4/10/2011,10:17,-19.3,31.2,11.9,
4/11/2011,10:17,-19.2,31.2,12,
4/12/2011,10:17,-19.9,31.2,11.3,
4/13/2011,10:17,-19.6,31.2,11.6,
4/14/2011,10:17,-19.7,31.2,11.5,
4/15/2011,10:17,-19.7,31.2,11.5,
4/16/2011,10:17,-19.3,31.2,11.9,
4/17/2011,10:17,-19,31.2,12.2,
4/18/2011,10:17,-19.3,31.2,11.9,
4/19/2011,10:17,-18.5,31.2,12.7,
4/20/2011,10:17,-13.9,31.2,17.3,
4/21/2011,10:17,-16.5,31.2,14.7,
4/22/2011,10:17,-17.4,31.2,13.8,
4/23/2011,10:17,-15,31.2,16.2,
