JDayMod,124Langes,1427Bath,241VKLake,398Snow,526Stumpy,554Columbia,683Boston,970Fitzwater
313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-187
314,-9999,-146,-9999,5,-9999,-9999,-9999,-186
315,-9999,-146,-9999,1,-2,-1,-9999,-186
316,-9999,-146,-9999,2,-1,-1,-9999,-186
317,-9999,-146,-9999,2,0,-1,-9999,-186
318,-9999,-146,-9999,8,0,0,-9999,-186
319,-9999,-146,-9999,2,0,0,-9999,-186
320,-9999,-146,-9999,3,0,0,-9999,-186
321,-9999,-139,-9999,10,0,1,-9999,-177
322,-9999,-139,-9999,5,0,1,-9999,-177
323,-9999,-138,-9999,3,0,0,-9999,-175
324,-9999,-138,-9999,4,0,1,-9999,-172
325,-9999,-137,-9999,4,0,1,-9999,-172
326,-9999,-134,-9999,9,1,3,-9999,-170
327,4,-132,-9999,5,1,2,-9999,-168
328,0,-132,0,3,0,1,-9999,-169
329,3,-119,4,15,1,3,-4,-166
330,4,-99,1,8,0,2,1,-149
331,4,-103,-1,4,-8,2,1,-121
332,4,-107,-2,4,-14,2,0,-93
333,3,-109,-2,3,-19,2,0,-84
334,6,-93,3,12,-1,4,6,-57
335,8,-69,3,7,-1,2,12,-36
336,5,-72,1,3,-2,1,11,-34
337,4,-76,0,3,-1,1,10,-34
338,4,-81,-1,3,-2,1,9,-35
339,4,-86,-2,3,-1,1,8,-39
340,4,-91,-2,3,-1,1,8,-41
341,4,-96,-2,4,-1,2,8,-43
342,4,-99,-1,3,-1,1,8,-46
343,4,-105,-1,3,-1,1,8,-48
344,4,-109,-2,4,-1,1,8,-48
345,4,-110,-2,4,-1,1,8,-50
346,6,-110,-3,6,0,3,12,-31
347,7,-98,2,5,0,2,13,-26
348,7,-98,0,2,-1,2,12,-30
349,7,-103,0,2,0,2,12,-32
350,6,-106,-1,2,-1,2,11,-34
351,6,-108,-3,2,-1,2,11,-38
352,6,-109,-3,2,-1,2,9,-42
353,6,-110,-3,1,-1,2,9,-45
354,6,-112,-3,3,-1,2,10,-50
355,6,-127,-3,3,-1,2,10,-53
356,6,-123,-3,4,-1,2,8,-55
357,6,-123,-3,4,-1,2,8,-60
358,6,-124,-3,4,-1,2,8,-62
359,6,-139,-3,3,-1,2,8,-64
360,6,-122,-3,1,0,2,8,-66
361,6,-122,-3,1,0,2,7,-70
362,6,-126,-3,0,-1,2,8,-72
363,6,-128,-3,0,-1,2,6,-75
364,6,-178,-3,3,0,3,6,-77
365,5,-169,-3,7,-1,3,14,-77
366,9,-117,-2,10,0,3,15,-55
367,8,-100,3,4,0,2,13,-42
368,6,-143,0,2,-12,1,12,-40
369,25,-96,1,2,-1,1,11,-40
370,1,-90,0,2,0,1,10,-43
371,8,-91,-3,1,-1,1,9,-43
372,8,-96,-1,2,0,1,10,-45
373,7,-100,0,1,-1,1,9,-50
374,6,-107,0,0,0,1,9,-58
375,6,-111,-1,0,-1,1,8,-61
376,10,-115,-2,0,-1,1,8,-62
377,12,-118,-2,1,0,1,9,-66
378,12,-120,0,3,0,1,10,-71
379,9,-122,-1,3,0,1,9,-72
380,28,-122,-2,2,0,1,10,-71
381,9,-125,-2,0,0,1,8,-79
382,9,-125,-2,3,0,1,8,-79
383,56,-125,-2,2,0,1,7,-79
384,11,-125,-2,4,0,1,10,-82
385,8,-125,-2,0,0,1,10,-80
386,8,-125,-2,0,0,2,8,-81
387,7,-126,-2,1,-1,1,7,-82
388,7,-127,-2,0,0,1,8,-87
389,7,-127,-2,1,-1,1,7,-86
390,18,-114,-3,1,0,2,14,-88
391,8,-115,-2,1,0,2,10,-87
392,7,-115,-2,1,0,2,9,-90
393,9,-114,-2,1,0,2,10,-92
394,10,-127,-2,1,0,2,11,-92
395,9,-118,-2,1,0,2,11,-99
396,8,-131,-2,2,0,2,8,-101
397,8,-131,-2,0,1,2,12,-98
398,-32,-123,-2,7,1,2,15,-93
399,10,-127,-2,4,1,2,13,-98
400,10,-125,-2,2,1,1,14,-91
401,10,-126,-2,2,1,2,13,-84
402,9,-122,-2,3,1,2,19,-90
403,685,-123,-2,5,1,2,15,-89
404,9,-126,-2,6,1,2,14,-97
405,9,-126,-2,4,0,2,12,-97
406,9,-127,-2,2,0,2,11,-97
407,8,-126,-2,4,-1,2,11,-97
408,777,-125,-2,2,0,2,15,-98
409,308,-126,-2,3,0,2,12,-96
410,284,-127,-3,6,0,2,19,-75
411,8,-125,-2,6,0,2,18,-61
412,158,-123,-2,4,0,0,18,-57
413,23,-118,-2,14,0,1,19,-39
414,-82,-86,2,10,0,2,14,-15
415,-61,-75,3,6,-1,0,14,-17
416,6,-72,-2,4,-10,0,13,-18
417,9,-65,-2,8,0,2,14,2
418,8,-61,0,5,-1,0,14,1
419,8,-64,-1,4,-4,0,14,-4
420,-75,-67,-2,4,-1,0,13,-10
421,3,-69,-2,5,-1,1,12,-12
422,285,-74,-2,4,-1,1,14,-17
423,374,-80,-2,4,-1,0,13,-19
424,374,0,-2,19,0,3,16,9
425,84,22,3,12,0,0,13,10
426,67,23,0,12,0,-1,13,7
427,7,217,-1,10,-3,0,11,5
428,-75,5,-2,12,-1,-1,11,6
