JDayMod,124Langes,1427Bath,241VKLake,398Snow,526Stumpy,554Columbia,683Boston,970Fitzwater,Average
897,12,-142,2,5,-9999,7,-17,-163,-42
898,12,-145,2,6,-9999,8,-21,-167,-44
899,12,-146,2,6,-9999,7,-24,-172,-45
900,12,-140,3,6,-9999,9,-13,-167,-41
901,12,-140,3,5,-9999,8,-5,-167,-41
902,12,-142,3,3,-9999,6,-13,-169,-43
903,11,-144,3,3,-9999,5,-16,-175,-45
904,12,-146,3,2,-9999,5,-23,-176,-46
905,11,-147,2,2,-9999,5,-27,-177,-47
906,12,-148,2,4,-9999,5,-30,-177,-47
907,12,-148,3,5,-9999,5,-33,-178,-48
908,9,-148,6,4,-9999,5,-34,-178,-48
909,10,-150,5,5,-9999,5,-37,-175,-48
910,11,-152,6,6,-9999,5,-38,-174,-48
911,10,-152,6,7,-9999,4,-40,-175,-49
912,9,-152,5,4,-9999,4,-42,-175,-50
913,10,-152,6,6,-9999,4,-44,-175,-49
914,8,-152,5,5,-9999,3,-46,-175,-50
915,15,-153,5,-21,-9999,4,-48,-176,-53
916,16,-150,8,6,-9999,-9999,-55,-168,-57
917,18,-150,7,2,-9999,-9999,-49,-173,-58
918,16,-148,6,4,-9999,-9999,-49,-174,-58
919,16,-150,6,2,-9999,-9999,-54,-179,-60
920,15,-153,6,1,-9999,-9999,-61,-179,-62
921,14,-154,6,1,-9999,-9999,-67,-179,-63
922,14,-155,6,-6,-9999,2,-72,-178,-56
923,13,-155,6,1,-9999,2,-76,-178,-55
924,13,-155,6,2,-9999,3,-80,-178,-56
925,14,-154,6,4,-9999,2,-84,-179,-56
926,12,-154,6,3,-9999,2,-85,-179,-56
927,13,-155,6,3,-9999,3,-85,-179,-56
928,12,-154,6,2,-9999,2,-85,-179,-57
929,12,-154,6,1,-9999,2,-85,-179,-57
930,15,-154,7,3,-9999,2,-85,-179,-56
931,14,-155,6,0,-9999,2,-85,-179,-57
932,17,-146,7,4,-9999,4,-84,-178,-54
933,15,-146,7,2,-9999,4,-84,-178,-54
934,16,-150,6,3,-9999,4,-84,-179,-55
935,15,-152,6,2,-9999,2,-85,-179,-56
936,13,-153,6,3,-9999,2,-85,-180,-56
937,11,-154,6,-1,-9999,1,-85,-180,-57
938,13,-155,7,2,-9999,2,-85,-179,-56
939,15,-140,8,3,-9999,2,-85,-179,-54
940,17,-126,8,4,-9999,7,-85,-178,-50
941,14,-129,7,2,-9999,3,-85,-178,-52
942,13,-136,6,2,-9999,2,-85,-180,-54
943,14,-142,7,4,-9999,3,-85,-180,-54
944,13,-145,7,3,-9999,2,-85,-180,-55
945,12,-147,6,2,-9999,2,-85,-180,-56
946,12,-148,7,3,-9999,3,-85,-180,-55
947,12,-151,7,3,-9999,2,-85,-180,-56
948,14,-151,7,3,-9999,2,-85,-180,-56
949,13,-148,7,3,-9999,3,-85,-180,-55
950,12,-149,7,2,-9999,2,-85,-179,-56
951,12,-151,8,2,-9999,3,-85,-179,-56
952,11,-154,8,3,-9999,3,-85,-179,-56
953,16,-152,7,3,-9999,2,-85,-179,-55
954,15,-140,8,4,-9999,4,-77,-179,-52
955,16,-140,8,4,-9999,3,-77,-178,-52
956,15,-143,7,4,-9999,2,-77,-180,-53
957,16,-145,7,4,-9999,2,-84,-179,-54
958,15,-146,7,5,-9999,2,-85,-178,-54
959,15,-148,8,4,-9999,1,-85,-179,-55
960,16,-149,8,3,-9999,2,-85,-180,-55
961,14,-150,7,1,-9999,0,-85,-180,-56
962,14,-151,7,0,-9999,1,-85,-179,-56
963,14,-152,8,1,-9999,3,-84,-179,-56
964,14,-152,7,3,-9999,2,-85,-178,-56
965,14,-152,7,4,-9999,4,-84,-177,-55
966,14,-153,8,3,-9999,2,-84,-178,-55
967,14,-154,8,3,-9999,2,-84,-179,-56
968,14,-155,8,2,-9999,1,-84,-179,-56
969,13,-155,8,2,-9999,0,-84,-179,-56
970,13,-155,8,2,-9999,1,-85,-179,-56
971,17,-147,10,6,-9999,6,-84,-177,-53
972,14,-145,7,2,-9999,1,-84,-177,-55
973,14,-148,7,2,-9999,0,-84,-177,-55
974,14,-150,7,3,-9999,2,-82,-178,-55
975,16,-152,9,3,-9999,2,-84,-177,-55
976,18,-147,10,4,-9999,6,-84,-177,-53
977,18,-135,9,4,-9999,2,-84,-177,-52
313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-187,-187
314,-9999,-146,-9999,5,-9999,-9999,-9999,-186,-109
315,-9999,-146,-9999,1,-2,-1,-9999,-186,-67
316,-9999,-146,-9999,2,-1,-1,-9999,-186,-66
317,-9999,-146,-9999,2,0,-1,-9999,-186,-66
318,-9999,-146,-9999,8,0,0,-9999,-186,-65
319,-9999,-146,-9999,2,0,0,-9999,-186,-66
320,-9999,-146,-9999,3,0,0,-9999,-186,-66
321,-9999,-139,-9999,10,0,1,-9999,-177,-61
322,-9999,-139,-9999,5,0,1,-9999,-177,-62
323,-9999,-138,-9999,3,0,0,-9999,-175,-62
324,-9999,-138,-9999,4,0,1,-9999,-172,-61
325,-9999,-137,-9999,4,0,1,-9999,-172,-61
326,-9999,-134,-9999,9,1,3,-9999,-170,-58
327,4,-132,-9999,5,1,2,-9999,-168,-48
328,0,-132,0,3,0,1,-9999,-169,-42
329,3,-119,4,15,1,3,-4,-166,-33
330,4,-99,1,8,0,2,1,-149,-29
331,4,-103,-1,4,-8,2,1,-121,-28
332,4,-107,-2,4,-14,2,0,-93,-26
333,3,-109,-2,3,-19,2,0,-84,-26
334,6,-93,3,12,-1,4,6,-57,-15
335,8,-69,3,7,-1,2,12,-36,-9
336,5,-72,1,3,-2,1,11,-34,-11
337,4,-76,0,3,-1,1,10,-34,-12
338,4,-81,-1,3,-2,1,9,-35,-13
339,4,-86,-2,3,-1,1,8,-39,-14
340,4,-91,-2,3,-1,1,8,-41,-15
341,4,-96,-2,4,-1,2,8,-43,-16
342,4,-99,-1,3,-1,1,8,-46,-16
343,4,-105,-1,3,-1,1,8,-48,-17
344,4,-109,-2,4,-1,1,8,-48,-18
345,4,-110,-2,4,-1,1,8,-50,-18
346,6,-110,-3,6,0,3,12,-31,-15
347,7,-98,2,5,0,2,13,-26,-12
348,7,-98,0,2,-1,2,12,-30,-13
349,7,-103,0,2,0,2,12,-32,-14
350,6,-106,-1,2,-1,2,11,-34,-15
351,6,-108,-3,2,-1,2,11,-38,-16
352,6,-109,-3,2,-1,2,9,-42,-17
353,6,-110,-3,1,-1,2,9,-45,-18
354,6,-112,-3,3,-1,2,10,-50,-18
355,6,-127,-3,3,-1,2,10,-53,-20
356,6,-123,-3,4,-1,2,8,-55,-20
357,6,-123,-3,4,-1,2,8,-60,-21
358,6,-124,-3,4,-1,2,8,-62,-21
359,6,-139,-3,3,-1,2,8,-64,-24
360,6,-122,-3,1,0,2,8,-66,-22
361,6,-122,-3,1,0,2,7,-70,-22
362,6,-126,-3,0,-1,2,8,-72,-23
363,6,-128,-3,0,-1,2,6,-75,-24
364,6,-178,-3,3,0,3,6,-77,-30
365,5,-169,-3,7,-1,3,14,-77,-28
366,9,-117,-2,10,0,3,15,-55,-17
367,8,-100,3,4,0,2,13,-42,-14
368,6,-143,0,2,-12,1,12,-40,-22
369,25,-96,1,2,-1,1,11,-40,-12
370,1,-90,0,2,0,1,10,-43,-15
371,8,-91,-3,1,-1,1,9,-43,-15
372,8,-96,-1,2,0,1,10,-45,-15
373,7,-100,0,1,-1,1,9,-50,-17
374,6,-107,0,0,0,1,9,-58,-19
375,6,-111,-1,0,-1,1,8,-61,-20
376,10,-115,-2,0,-1,1,8,-62,-20
377,12,-118,-2,1,0,1,9,-66,-20
378,12,-120,0,3,0,1,10,-71,-21
379,9,-122,-1,3,0,1,9,-72,-22
380,28,-122,-2,2,0,1,10,-71,-19
381,9,-125,-2,0,0,1,8,-79,-24
382,9,-125,-2,3,0,1,8,-79,-23
383,56,-125,-2,2,0,1,7,-79,-18
384,11,-125,-2,4,0,1,10,-82,-23
385,8,-125,-2,0,0,1,10,-80,-24
386,8,-125,-2,0,0,2,8,-81,-24
387,7,-126,-2,1,-1,1,7,-82,-24
388,7,-127,-2,0,0,1,8,-87,-25
389,7,-127,-2,1,-1,1,7,-86,-25
390,18,-114,-3,1,0,2,14,-88,-21
391,8,-115,-2,1,0,2,10,-87,-23
392,7,-115,-2,1,0,2,9,-90,-24
393,9,-114,-2,1,0,2,10,-92,-23
394,10,-127,-2,1,0,2,11,-92,-25
395,9,-118,-2,1,0,2,11,-99,-24
396,8,-131,-2,2,0,2,8,-101,-27
397,8,-131,-2,0,1,2,12,-98,-26
398,-32,-123,-2,7,1,2,15,-93,-28
399,10,-127,-2,4,1,2,13,-98,-25
400,10,-125,-2,2,1,1,14,-91,-24
401,10,-126,-2,2,1,2,13,-84,-23
402,9,-122,-2,3,1,2,19,-90,-22
403,685,-123,-2,5,1,2,15,-89,62
404,9,-126,-2,6,1,2,14,-97,-24
405,9,-126,-2,4,0,2,12,-97,-25
406,9,-127,-2,2,0,2,11,-97,-25
407,8,-126,-2,4,-1,2,11,-97,-25
408,777,-125,-2,2,0,2,15,-98,71
409,308,-126,-2,3,0,2,12,-96,13
410,284,-127,-3,6,0,2,19,-75,13
411,8,-125,-2,6,0,2,18,-61,-19
412,158,-123,-2,4,0,0,18,-57,0
413,23,-118,-2,14,0,1,19,-39,-13
414,-82,-86,2,10,0,2,14,-15,-19
415,-61,-75,3,6,-1,0,14,-17,-16
416,6,-72,-2,4,-10,0,13,-18,-10
417,9,-65,-2,8,0,2,14,2,-4
418,8,-61,0,5,-1,0,14,1,-4
419,8,-64,-1,4,-4,0,14,-4,-6
420,-75,-67,-2,4,-1,0,13,-10,-17
421,3,-69,-2,5,-1,1,12,-12,-8
422,285,-74,-2,4,-1,1,14,-17,26
423,374,-80,-2,4,-1,0,13,-19,36
424,374,0,-2,19,0,3,16,9,52
425,84,22,3,12,0,0,13,10,18
426,67,23,0,12,0,-1,13,7,15
427,7,217,-1,10,-3,0,11,5,31
428,-75,5,-2,12,-1,-1,11,6,-6
429,-64,6,-3,19,1,3,17,10,-1
430,108,9,3,13,0,0,13,10,20
431,816,17,0,13,0,0,13,8,108
432,363,16,-1,14,0,-1,13,7,51
433,-48,15,-2,18,1,2,14,10,1
434,770,2,0,20,1,4,17,10,103
435,824,2,3,15,0,0,14,10,108
436,548,20,0,15,1,0,14,14,76
437,0,20,1,14,0,0,13,16,8
438,15,18,-1,13,0,-1,13,8,8
439,12,18,-2,14,-1,-1,13,8,8
440,13,13,-2,12,1,0,13,8,7
441,12,8,-2,12,1,-1,12,8,6
442,11,-5,-1,10,1,0,12,6,4
443,11,-26,-1,11,1,0,13,-2,1
444,13,-36,-2,13,1,0,14,-7,0
445,15,-45,-2,10,2,1,12,1,-1
446,13,-55,0,11,2,0,13,0,-2
447,12,-60,-1,12,2,0,15,-2,-3
448,11,-70,0,11,1,0,13,-12,-6
449,9,-77,0,12,1,-1,12,-19,-8
450,9,-82,-2,12,1,-1,12,-22,-9
451,9,-86,-2,12,1,-1,12,-24,-10
452,9,-90,-2,12,1,-1,12,-26,-11
453,9,-93,-2,13,1,-1,12,-29,-11
454,10,-93,-2,14,1,-1,13,-31,-11
455,10,-95,-2,13,1,0,12,-29,-11
456,11,-95,-2,13,1,0,14,-22,-10
457,11,-95,0,16,1,1,13,-26,-10
458,12,-96,0,13,1,0,13,-30,-11
459,14,-94,0,18,3,3,14,-25,-8
460,16,-70,2,15,2,-1,14,11,-1
461,14,-68,1,15,2,-1,14,7,-2
462,12,-68,2,11,2,-1,13,3,-3
463,13,-59,1,15,2,1,15,13,0
464,13,-55,3,12,2,-1,14,7,-1
465,12,-59,2,12,3,-1,13,2,-2
466,12,-64,2,12,3,0,14,2,-2
467,11,-68,3,13,2,0,14,9,-2
468,12,-75,3,12,3,0,15,-12,-5
469,12,-77,3,13,2,0,15,-16,-6
470,12,-79,2,12,0,0,14,-16,-7
471,12,-80,2,18,3,2,17,-4,-4
472,12,-78,5,15,3,0,16,-4,-4
473,12,-76,5,14,3,1,14,-5,-4
474,13,-77,4,19,3,2,16,3,-2
475,17,-36,4,17,3,1,17,14,5
476,15,-41,5,16,2,0,16,13,3
477,14,-47,5,16,-2,1,14,10,1
478,16,-34,5,18,3,1,16,11,4
479,16,-32,6,15,3,1,16,11,4
480,17,-22,6,15,4,1,17,12,6
481,15,-12,6,16,3,1,16,12,7
482,14,-15,5,13,0,0,15,10,5
483,14,-21,4,15,-4,1,16,6,4
484,15,-30,6,16,0,1,15,5,4
485,14,-44,6,18,-1,1,16,0,1
486,15,-52,5,16,0,2,15,1,0
487,14,-54,6,17,3,1,16,-5,0
488,17,-30,5,0,3,3,19,10,3
489,16,-32,6,18,3,1,16,10,5
490,14,-42,7,18,3,1,16,4,3
491,14,-50,6,15,3,1,16,0,1
492,14,-50,5,20,4,2,16,-2,1
493,12,-54,6,18,4,1,16,-13,-1
494,13,-63,6,14,4,1,16,-18,-3
495,13,-69,6,14,4,1,16,-22,-5
496,13,-74,5,13,5,1,15,-29,-6
497,13,-76,5,15,5,1,15,-32,-7
498,16,-67,5,14,5,1,16,-12,-3
499,19,-46,6,17,6,2,18,-11,1
500,18,-34,7,20,5,2,18,1,5
501,18,-36,7,17,4,2,17,-1,4
502,17,-39,6,17,4,2,18,-8,2
503,17,-33,7,21,5,3,18,-1,5
504,17,-29,8,0,5,2,18,4,3
505,17,-36,6,20,5,2,17,-8,3
506,16,-48,5,20,-7,3,17,-15,-1
507,16,-54,4,18,-8,2,16,-15,-3
508,17,-59,5,17,-5,2,18,-18,-3
509,16,-65,6,16,0,2,16,0,-1
510,15,-66,5,17,-15,3,16,-10,-4
511,22,8,4,5,3,4,19,18,10
512,22,4,8,6,4,3,19,16,10
513,21,20,9,4,4,2,18,19,12
514,21,12,7,3,4,3,17,10,10
515,20,8,5,0,-14,3,16,-2,4
516,18,-18,5,20,-20,2,16,-14,1
517,16,-35,4,20,-24,2,16,-25,-3
518,16,-55,2,18,-29,2,13,-35,-8
519,15,-66,3,18,-31,2,13,-43,-11
520,16,-67,2,1,-33,3,14,-50,-14
521,15,-68,3,20,-34,3,13,-58,-13
522,14,-68,3,19,-38,3,11,-68,-16
523,16,-73,3,2,6,5,14,-41,-8
524,16,-91,8,18,-18,3,13,-53,-13
525,14,-99,4,18,-29,2,11,-67,-18
526,14,-79,3,19,-33,3,12,-69,-16
527,14,-79,5,19,-29,2,13,-74,-16
528,14,-80,4,18,2,2,12,-74,-13
529,15,-84,6,19,-19,2,14,-81,-16
530,15,-84,5,19,-28,3,13,-85,-18
531,14,-81,4,20,-33,3,14,-92,-19
532,14,-87,4,0,-36,3,13,-93,-23
533,13,-88,3,20,-28,3,15,-102,-20
534,13,-91,4,19,-35,3,10,-107,-23
535,13,-107,3,18,-40,2,9,-112,-27
536,14,-85,3,20,-21,4,13,-108,-20
537,15,-95,5,21,2,4,12,-88,-16
